zip_code,city,state,county,s2014_03,s2014_06,s2014_09,s2014_12,s2015_03,s2015_06,s2015_09,s2015_12,s2016_03,s2016_06,s2016_09,s2016_12,s2017_03,s2017_06,s2017_09,s2017_12
74901,Arkoma,OK,LeFlore,42800,42700,45300,45600,45200,49900,51200,52000,54100,47100,45900,46500,51700,55800,53000,53000
74902,Pocola,OK,LeFlore,73600,74400,78900,79000,77300,79200,77900,79400,79100,78200,79100,80200,81200,84200,86500,86600
74930,Bokoshe,OK,LeFlore,75000,75000,75400,73700,71700,73800,77500,81100,85900,85800,86100,86500,84300,90200,92000,95300
74932,Cameron,OK,LeFlore,82900,81600,83400,84200,84100,89500,90600,91900,96400,98400,97900,94600,95000,102800,110700,113700
74937,Heavener,OK,LeFlore,50300,48300,51100,51200,51300,52200,52300,54000,57500,59100,59000,61000,64800,68500,67400,67900
74940,Howe,OK,LeFlore,76500,75900,77700,76600,77600,82200,87200,91400,95300,99700,102600,100200,98400,104200,111100,113200
74948,Muldrow,OK,Sequoyah,79600,77900,79000,79500,81400,82500,84600,87100,85400,87000,87200,87900,89100,89900,91300,90600
74953,Poteau,OK,LeFlore,82000,79900,80600,82000,83300,85800,86800,88600,90200,92400,97300,94000,92400,97400,100400,101900
74954,Roland,OK,Sequoyah,83700,80200,81600,82300,83000,83200,84300,85600,83800,87100,89400,89500,92600,95300,97000,97200
74955,Sallisaw,OK,Sequoyah,76100,76000,76500,75200,77000,79800,82900,84000,82500,82100,83500,83000,81000,80100,80200,80400
74956,Shady Point,OK,LeFlore,75200,75800,75500,74600,74800,74900,77200,79600,82400,81900,82600,82900,83300,87300,89300,90300
74959,Spiro,OK,LeFlore,66600,69500,71700,71400,69300,66900,66700,66600,71800,72700,73800,76100,74900,78000,78500,78400
74966,Wister,OK,LeFlore,65800,68500,69900,69000,68000,67600,72100,75700,80000,81000,81400,78500,78700,81700,82800,84000
75001,Addison,TX,Dallas,262200,262700,267600,269900,273300,281900,287000,297200,309200,318400,322000,327400,329200,334900,336000,338100
75002,Allen,TX,Collin,207800,215900,222200,226100,232300,241700,247700,253600,261500,266700,270500,276400,281700,285900,286800,290900
75007,Carrollton,TX,Denton,179600,183100,185900,190100,197200,205900,213900,221200,224300,229600,236800,241800,248600,255200,260400,266300
75009,Celina,TX,Collin,223100,225700,230200,235500,243500,253500,260000,268500,281100,290800,297200,303600,306200,310600,314300,323600
75010,Carrollton,TX,Denton,221800,226800,232100,234300,239900,247900,253800,258700,264100,270100,276800,285500,294100,298200,301300,308300
75013,Allen,TX,Collin,349000,356200,363000,367800,375000,384500,393100,401700,411500,416400,424400,427500,431700,436500,435800,441800
75019,Coppell,TX,Dallas,311700,315100,324400,331100,334200,349600,357100,365000,374100,383200,395300,400400,405300,411200,415600,418700
